route,name,type,departure_time,arrival_time,duration,price,seats_available,rating,from_place,to_place
Jammu (j and k) to Srinagar,New Pal Travels,NON A/C Seater / Sleeper (2+2),20:15,06:15,10h 00m,679,33,1.5,Jammu (j and k),Srinagar
Jammu (j and k) to Srinagar,Harikesh Tour N Travels,NON A/C Seater / Sleeper (2+2),20:30,06:00,09h 30m,637,34,1.1,Jammu (j and k),Srinagar
Jammu (j and k) to Haridwar,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),20:50,09:30,12h 40m,568,15,4.3,Jammu (j and k),Haridwar
Jammu (j and k) to Haridwar,SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),VE A/C Seater / Sleeper (2+1),20:00,08:55,12h 55m,900,23,4.1,Jammu (j and k),Haridwar
Jammu (j and k) to Haridwar,City Land Travels,A/C Seater/Sleeper (2+1),20:30,09:00,12h 30m,585,22,3.3,Jammu (j and k),Haridwar
Jammu (j and k) to Delhi,Laxmi holidays,Bharat Benz A/C Sleeper (2+1),21:15,08:30,11h 15m,782,1,4.7,Jammu (j and k),Delhi
Jammu (j and k) to Delhi,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),20:40,07:25,10h 45m,461,8,4.6,Jammu (j and k),Delhi
Jammu (j and k) to Delhi,R S YADAV SMART BUS PRIVATE LIMITED,VE A/C Seater / Sleeper (2+1),20:30,08:30,12h 00m,569,9,4.6,Jammu (j and k),Delhi
Jammu (j and k) to Delhi,AdAwadh Travels,A/C Sleeper (2+2),20:55,08:40,11h 45m,1019,8,4.6,Jammu (j and k),Delhi
Jammu (j and k) to Delhi,IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),20:00,07:45,11h 45m,479,4,4.6,Jammu (j and k),Delhi
Jammu (j and k) to Delhi,Laxmi holidays,Bharat Benz A/C Sleeper (2+1),21:30,09:00,11h 30m,833,1,4.4,Jammu (j and k),Delhi
Jammu (j and k) to Delhi,Gola Bus Service,A/C Seater/Sleeper (2+1),20:20,07:50,11h 30m,499,11,4.7,Jammu (j and k),Delhi
Jammu (j and k) to Delhi,Ram Dalal Holidays,A/C Seater/Sleeper (2+1),20:15,07:30,11h 15m,369,4,4.2,Jammu (j and k),Delhi
Jammu (j and k) to Delhi,Yolo Bus,A/C Seater/Sleeper (2+1),21:01,07:59,10h 58m,750,6,4.5,Jammu (j and k),Delhi
Jammu (j and k) to Delhi,IntrCity SmartBus,AC Sleeper (2+1),20:50,08:30,11h 40m,752,2,4.1,Jammu (j and k),Delhi
Jammu (j and k) to Delhi,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),22:45,10:20,11h 35m,891,1,4.1,Jammu (j and k),Delhi
Jammu (j and k) to Delhi,Jamna Travels-Jammu,A/C Seater / Sleeper (2+2),20:30,08:00,11h 30m,1249,8,1.9,Jammu (j and k),Delhi
Jammu (j and k) to Delhi,Shiv Mohan Travels,AC Sleeper (2+1),20:15,09:15,13h 00m,1380,3,4.7,Jammu (j and k),Delhi
Jammu (j and k) to Delhi,FlixBus,A/C Sleeper (2+1),20:05,08:35,12h 30m,700,4,3.6,Jammu (j and k),Delhi
Jammu (j and k) to Delhi,RK Holiday,A/C Seater / Sleeper (2+2),20:45,08:25,11h 40m,1899,30,2.9,Jammu (j and k),Delhi
Jammu (j and k) to Delhi,Big Bus,A/C Seater / Sleeper (2+2),23:00,10:00,11h 00m,1299,32,2.3,Jammu (j and k),Delhi
Jammu (j and k) to Delhi,CAPITAL HOLIDAYS,A/C Seater / Sleeper (2+2),22:30,08:30,10h 00m,899,34,1.2,Jammu (j and k),Delhi
Jammu (j and k) to Delhi,Shub Yatra Holidays,A/C Sleeper (2+2),21:15,10:00,12h 45m,1399,14,2.3,Jammu (j and k),Delhi
Jammu (j and k) to Delhi,Harikesh Tour N Travels,A/C Sleeper (2+2),20:30,08:00,11h 30m,1189,46,3.9,Jammu (j and k),Delhi
Jammu (j and k) to Delhi,Apex Bus Travels,A/C Seater / Sleeper (2+2),20:00,10:00,14h 00m,899,36,3.4,Jammu (j and k),Delhi
Jammu (j and k) to Delhi,SHAH HOLIDAY TRAVEL,Bharat Benz A/C Seater / Sleeper (2+2),21:00,08:00,11h 00m,1499,22,2.8,Jammu (j and k),Delhi
Jammu (j and k) to Delhi,Travel Point World LLP,A/C Seater / Sleeper (2+2),20:00,08:15,12h 15m,1234,46,1.7,Jammu (j and k),Delhi
Jammu (j and k) to Delhi,MEHRA TRAVELS,Bharat Benz A/C Sleeper (2+1),20:03,06:00,09h 57m,1399,34,1.5,Jammu (j and k),Delhi
Jammu (j and k) to Delhi,Sahiba Travels India Sahiba Bus Service Regd,A/C Sleeper (2+2),21:30,09:31,12h 01m,1800,22,1.0,Jammu (j and k),Delhi
Delhi to Jammu (j and k),Gola Bus Service,A/C Seater/Sleeper (2+1),20:20,09:00,12h 40m,799,11,4.8,Delhi,Jammu (j and k)
Delhi to Jammu (j and k),Laxmi holidays,Volvo 9600 Multi-Axle A/C Sleeper (2+1),21:30,10:15,12h 45m,925,11,4.5,Delhi,Jammu (j and k)
Delhi to Jammu (j and k),Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),21:00,10:00,13h 00m,528,19,4.1,Delhi,Jammu (j and k)
Delhi to Jammu (j and k),AdLavish Travels,A/C Seater / Sleeper (2+2),19:50,08:15,12h 25m,424,15,3.8,Delhi,Jammu (j and k)
Delhi to Jammu (j and k),Lucky Bus Service,VE A/C Sleeper (2+2),20:15,08:35,12h 20m,750,28,4.4,Delhi,Jammu (j and k)
Delhi to Jammu (j and k),B S Holiday Travels,A/C Seater / Sleeper (2+2),22:30,11:00,12h 30m,399,26,4.0,Delhi,Jammu (j and k)
Delhi to Jammu (j and k),Shiv Mohan Travels,AC Sleeper (2+1),20:10,10:00,13h 50m,1190,31,4.7,Delhi,Jammu (j and k)
Delhi to Jammu (j and k),AdAwadh Travels,A/C Sleeper (2+2),21:10,10:10,13h 00m,764,33,3.8,Delhi,Jammu (j and k)
Delhi to Jammu (j and k),IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),20:10,08:15,12h 05m,479,4,4.6,Delhi,Jammu (j and k)
Delhi to Jammu (j and k),Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),20:00,05:45,09h 45m,494,9,4.5,Delhi,Jammu (j and k)
Delhi to Jammu (j and k),Laxmi holidays,Bharat Benz A/C Sleeper (2+1),22:00,11:00,13h 00m,803,8,4.3,Delhi,Jammu (j and k)
Delhi to Jammu (j and k),Laxmi holidays,Bharat Benz A/C Sleeper (2+1),22:30,11:30,13h 00m,803,8,4.3,Delhi,Jammu (j and k)
Delhi to Jammu (j and k),IntrCity SmartBus,AC Sleeper (2+1),20:15,09:30,13h 15m,913,2,4.4,Delhi,Jammu (j and k)
Delhi to Jammu (j and k),Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),19:50,08:50,13h 00m,586,6,4.1,Delhi,Jammu (j and k)
Delhi to Jammu (j and k),IntrCity SmartBus,A/C Seater / Sleeper (2+1),20:00,09:40,13h 40m,507,4,4.8,Delhi,Jammu (j and k)
Delhi to Jammu (j and k),Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),23:00,12:20,13h 20m,542,12,3.9,Delhi,Jammu (j and k)
Delhi to Jammu (j and k),Goel Tourist (Regd),A/C Seater / Sleeper (2+2),20:50,09:00,12h 10m,509,42,3.7,Delhi,Jammu (j and k)
Delhi to Jammu (j and k),Shub Yatra Holidays,A/C Sleeper (2+2),21:15,09:15,12h 00m,799,28,3.4,Delhi,Jammu (j and k)
Delhi to Jammu (j and k),Travel Point,A/C Seater / Sleeper (2+2),22:30,11:15,12h 45m,528,50,3.8,Delhi,Jammu (j and k)
Delhi to Jammu (j and k),RK Holiday,A/C Seater / Sleeper (2+2),21:40,10:55,13h 15m,474,38,3.4,Delhi,Jammu (j and k)
Delhi to Jammu (j and k),SHAH HOLIDAY TRAVEL,Bharat Benz A/C Seater / Sleeper (2+2),21:00,10:00,13h 00m,434,33,3.9,Delhi,Jammu (j and k)
Delhi to Jammu (j and k),Apex Bus Travels,A/C Seater / Sleeper (2+2),22:30,08:30,10h 00m,549,31,3.1,Delhi,Jammu (j and k)
Delhi to Jammu (j and k),CAPITAL HOLIDAYS,A/C Seater / Sleeper (2+2),22:30,10:30,12h 00m,539,36,3.2,Delhi,Jammu (j and k)
Delhi to Jammu (j and k),Apex Bus Travels,A/C Seater / Sleeper (2+2),20:30,06:30,10h 00m,699,32,3.1,Delhi,Jammu (j and k)
Delhi to Jammu (j and k),B S Holiday Travels,A/C Seater / Sleeper (2+2),21:15,09:15,12h 00m,599,25,3.8,Delhi,Jammu (j and k)
Delhi to Jammu (j and k),BSS COOL COOL TRAVELS,A/C Seater / Sleeper (2+1),20:55,08:45,11h 50m,1899,54,3.2,Delhi,Jammu (j and k)
Delhi to Jammu (j and k),New National Travels,A/C Seater / Sleeper (2+2),21:10,09:00,11h 50m,1049,38,3.2,Delhi,Jammu (j and k)
Delhi to Jammu (j and k),FlixBus,A/C Sleeper (2+1),21:00,10:20,13h 20m,1211,4,3.7,Delhi,Jammu (j and k)
Delhi to Jammu (j and k),Ashok Bus Service,A/C Seater / Sleeper (2+2),23:35,11:45,12h 10m,647,39,1.9,Delhi,Jammu (j and k)
Delhi to Jammu (j and k),Jamna Travels (Delhi),A/C Seater / Sleeper (2+2),20:05,09:15,13h 10m,699,22,2.5,Delhi,Jammu (j and k)
Delhi to Jammu (j and k),DS Hari Travels,A/C Seater / Sleeper (2+2),21:00,08:30,11h 30m,550,48,2.7,Delhi,Jammu (j and k)
Delhi to Jammu (j and k),Travel Point,A/C Seater / Sleeper (2+2),21:30,10:15,12h 45m,528,50,2.3,Delhi,Jammu (j and k)
Delhi to Jammu (j and k),BSS COOL COOL TRAVELS,A/C Seater / Sleeper (2+2),21:45,09:30,11h 45m,799,14,1.9,Delhi,Jammu (j and k)
Delhi to Jammu (j and k),Red Apple Bus Service,A/C Seater / Sleeper (2+2),22:00,08:30,10h 30m,899,23,2.0,Delhi,Jammu (j and k)
Delhi to Jammu (j and k),Ashok Travels,A/C Seater / Sleeper (2+2),22:35,10:35,12h 00m,645,52,2.3,Delhi,Jammu (j and k)
Delhi to Jammu (j and k),Ashok Bus Service,A/C Seater / Sleeper (2+2),21:45,10:30,12h 45m,1017,41,2.8,Delhi,Jammu (j and k)
Delhi to Jammu (j and k),Big Bus,A/C Seater / Sleeper (2+2),21:55,10:00,12h 05m,585,40,2.1,Delhi,Jammu (j and k)
Delhi to Jammu (j and k),NEW KING BUS SERVICE,A/C Seater / Sleeper (2+2),23:10,10:10,11h 00m,549,30,2.8,Delhi,Jammu (j and k)
Delhi to Jammu (j and k),Travel Point World LLP,A/C Seater / Sleeper (2+2),20:30,09:50,13h 20m,569,46,1.9,Delhi,Jammu (j and k)
Delhi to Jammu (j and k),Maheshwaram Travels,A/C Seater / Sleeper (2+2),20:00,07:35,11h 35m,826,33,1.1,Delhi,Jammu (j and k)
Delhi to Jammu (j and k),RK Holiday,A/C Seater / Sleeper (2+2),23:10,12:30,13h 20m,617,30,1.3,Delhi,Jammu (j and k)
Delhi to Jammu (j and k),Vaishnoyatra services pvt ltd,A/C Seater / Sleeper (2+2),20:30,08:15,11h 45m,850,46,0.0,Delhi,Jammu (j and k)
Delhi to Jammu (j and k),Sahiba Travels India Sahiba Bus Service Regd,A/C Sleeper (2+2),20:00,09:31,13h 31m,1800,20,1.0,Delhi,Jammu (j and k)
Katra (jammu and kashmir) to Jammu (j and k),FlixBus,A/C Sleeper (2+1),21:00,22:25,01h 25m,99,18,3.7,Katra (jammu and kashmir),Jammu (j and k)
Katra (jammu and kashmir) to Jammu (j and k),Royal Golden,A/C Seater / Sleeper (2+2),23:00,00:00,01h 00m,440,32,2.0,Katra (jammu and kashmir),Jammu (j and k)
Katra (jammu and kashmir) to Jammu (j and k),Golden Temple Express Volvo,A/C Seater / Sleeper (2+2),23:00,00:20,01h 20m,399,32,1.2,Katra (jammu and kashmir),Jammu (j and k)
Katra (jammu and kashmir) to Jammu (j and k),SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),VE A/C Seater / Sleeper (2+1),20:00,21:00,01h 00m,1499,38,3.8,Katra (jammu and kashmir),Jammu (j and k)
Jammu (j and k) to Katra (jammu and kashmir),Golden Temple Express Volvo,A/C Seater / Sleeper (2+2),20:30,21:30,01h 00m,299,5,3.8,Jammu (j and k),Katra (jammu and kashmir)
Jammu (j and k) to Katra (jammu and kashmir),Bhawani Travels,A/C Seater / Sleeper (2+2),19:50,21:30,01h 40m,269,52,2.2,Jammu (j and k),Katra (jammu and kashmir)
Jammu (j and k) to Katra (jammu and kashmir),SPEED BUS,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),22:00,23:30,01h 30m,899,49,3.7,Jammu (j and k),Katra (jammu and kashmir)
Haridwar to Jammu (j and k),City Land Travels,A/C Seater/Sleeper (2+1),20:15,08:00,11h 45m,720,7,3.9,Haridwar,Jammu (j and k)
Haridwar to Jammu (j and k),Jamna Travels-Jammu,AshokLeyland Stile A/C,20:00,06:30,10h 30m,899,7,3.5,Haridwar,Jammu (j and k)
Chandigarh to Jammu (j and k),Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),23:05,06:00,06h 55m,470,10,4.4,Chandigarh,Jammu (j and k)
Chandigarh to Jammu (j and k),Moon Light Travels Katra,A/C Sleeper (2+1),21:00,04:30,07h 30m,552,9,4.4,Chandigarh,Jammu (j and k)
Chandigarh to Jammu (j and k),Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),22:50,06:00,07h 10m,561,10,4.3,Chandigarh,Jammu (j and k)
Chandigarh to Jammu (j and k),AdHarikesh Tour N Travels,A/C Sleeper (2+1),21:00,04:30,07h 30m,424,18,3.9,Chandigarh,Jammu (j and k)
Chandigarh to Jammu (j and k),Zimindara Travels,A/C Seater / Sleeper (2+1),22:30,05:30,07h 00m,599,7,4.2,Chandigarh,Jammu (j and k)
Chandigarh to Jammu (j and k),Jamna Travels-Jammu,AshokLeyland Stile A/C,20:15,04:30,08h 15m,509,20,3.9,Chandigarh,Jammu (j and k)
Chandigarh to Jammu (j and k),Laxmi holidays,Volvo 9600 Multi-Axle A/C Sleeper (2+1),23:50,07:00,07h 10m,852,3,4.3,Chandigarh,Jammu (j and k)
Chandigarh to Jammu (j and k),New Pal Travels,A/C Sleeper (2+1),19:50,05:45,09h 55m,424,6,3.9,Chandigarh,Jammu (j and k)
Chandigarh to Jammu (j and k),CAPITAL HOLIDAYS,A/C Seater / Sleeper (2+2),21:30,03:30,06h 00m,709,23,0.0,Chandigarh,Jammu (j and k)
Chandigarh to Jammu (j and k),Laxmi holidays,Bharat Benz A/C Sleeper (2+1),23:30,07:00,07h 30m,725,5,4.0,Chandigarh,Jammu (j and k)
Chandigarh to Jammu (j and k),Baru travels,A/C Seater / Sleeper (2+2),20:45,04:15,07h 30m,400,16,3.8,Chandigarh,Jammu (j and k)
Chandigarh to Jammu (j and k),Zimindara Travels,AC Sleeper (2+1),21:30,04:30,07h 00m,599,11,3.8,Chandigarh,Jammu (j and k)
Chandigarh to Jammu (j and k),SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),VE A/C Seater / Sleeper (2+1),23:30,07:00,07h 30m,770,4,3.8,Chandigarh,Jammu (j and k)
Chandigarh to Jammu (j and k),Zimindara Travels,AC Sleeper (2+1),23:00,06:00,07h 00m,799,1,4.1,Chandigarh,Jammu (j and k)
Chandigarh to Jammu (j and k),Zimindara Travels,AC Sleeper (2+1),22:00,05:00,07h 00m,599,12,3.7,Chandigarh,Jammu (j and k)
Chandigarh to Jammu (j and k),SAHARA TRAVELS,A/C Seater / Sleeper (2+2),21:15,05:15,08h 00m,359,22,2.8,Chandigarh,Jammu (j and k)
Chandigarh to Jammu (j and k),Awadh Travels,A/C Sleeper (2+1),21:15,07:00,09h 45m,552,6,3.3,Chandigarh,Jammu (j and k)
Chandigarh to Jammu (j and k),Goel Tourist (Regd),A/C Seater / Sleeper (2+2),23:15,06:30,07h 15m,509,9,2.6,Chandigarh,Jammu (j and k)
Chandigarh to Jammu (j and k),Moon Light Travels Katra,A/C Sleeper (2+1),21:45,04:45,07h 00m,467,21,3.9,Chandigarh,Jammu (j and k)
Chandigarh to Jammu (j and k),Radhe Travels,Bharat Benz A/C Sleeper (2+1),21:20,04:45,07h 25m,494,13,3.7,Chandigarh,Jammu (j and k)
Chandigarh to Jammu (j and k),Radhe Travels,Bharat Benz A/C Sleeper (2+1),21:30,04:45,07h 15m,494,11,3.7,Chandigarh,Jammu (j and k)
Chandigarh to Jammu (j and k),Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),23:05,04:25,05h 20m,585,6,4.5,Chandigarh,Jammu (j and k)
Chandigarh to Jammu (j and k),Jamna Travels (Delhi),A/C Seater / Sleeper (2+2),23:29,07:15,07h 46m,699,21,3.4,Chandigarh,Jammu (j and k)
Chandigarh to Jammu (j and k),City Land Travels,A/C Seater/Sleeper (2+1),23:50,07:30,07h 40m,844,1,3.1,Chandigarh,Jammu (j and k)
Chandigarh to Jammu (j and k),Maheshwaram Travels,A/C Seater / Sleeper (2+2),21:00,07:35,10h 35m,826,33,1.0,Chandigarh,Jammu (j and k)
Chandigarh to Jammu (j and k),DS Hari Travels,A/C Sleeper (2+2),21:15,05:00,07h 45m,699,44,1.1,Chandigarh,Jammu (j and k)
Chandigarh to Jammu (j and k),Sonali Holidays,Bharat Benz A/C Seater / Sleeper (2+2),21:30,05:30,08h 00m,500,50,4.0,Chandigarh,Jammu (j and k)
Chandigarh to Jammu (j and k),Jamna Travels-Jammu,AshokLeyland Stile A/C,22:30,06:30,08h 00m,899,6,3.5,Chandigarh,Jammu (j and k)
Chandigarh to Jammu (j and k),Big Bus,A/C Seater / Sleeper (2+2),20:20,03:30,07h 10m,695,1,2.7,Chandigarh,Jammu (j and k)
Chandigarh to Jammu (j and k),Northern Travels,Bharat Benz A/C Sleeper (2+1),22:30,06:05,07h 35m,749,21,2.6,Chandigarh,Jammu (j and k)
Jammu (j and k) to Amritsar,Jamna Travels-Jammu,A/C Seater / Sleeper (2+2),22:30,03:45,05h 15m,359,21,3.0,Jammu (j and k),Amritsar
Jammu (j and k) to Amritsar,Bhawani Travels,A/C Seater / Sleeper (2+2),23:00,04:30,05h 30m,278,15,4.0,Jammu (j and k),Amritsar
Jammu (j and k) to Amritsar,Awadh Travels,A/C Sleeper (2+2),23:35,04:20,04h 45m,408,8,3.6,Jammu (j and k),Amritsar
Kolkata to Digha,SBSTC-GARIA - DIGHA - 22:30 (DIGHA DEPOT) - 3745,Non AC Seater (2+3),23:45,04:15,04h 30m,155,6,4.1,Kolkata,Digha
Kolkata to Digha,Shyamoli Paribahan Pvt Ltd,VE A/C Seater (2+2),23:30,04:30,05h 00m,400,12,4.4,Kolkata,Digha
Kolkata to Digha,Express Line,Volvo 9600 A/C Seater (2+2),23:45,04:45,05h 00m,449,30,4.4,Kolkata,Digha
Kolkata to Digha,AdSagufta Travels(Maa Chandi),A/C Seater / Sleeper (2+2),23:57,05:10,05h 13m,365,20,4.1,Kolkata,Digha
Kolkata to Digha,Maa Chandi Travels,A/C Seater / Sleeper (2+2),22:00,05:30,07h 30m,370,16,4.4,Kolkata,Digha
Kolkata to Digha,Mayuri Express,AC Seater (2+2),23:15,04:30,05h 15m,370,17,4.2,Kolkata,Digha
Kolkata to Digha,Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),23:45,04:45,05h 00m,400,20,4.5,Kolkata,Digha
Kolkata to Digha,City Express (Shinjini),AC Seater (2+3),23:50,04:55,05h 05m,370,35,3.5,Kolkata,Digha
Kolkata to Digha,Parameswar Travels,A/C Seater Push Back (2+2),23:50,04:45,04h 55m,285,3,3.4,Kolkata,Digha
Kolkata to Digha,Sagufta Travels (Mayuri),A/C Seater (2+2),23:15,04:00,04h 45m,365,5,4.9,Kolkata,Digha
Kolkata to Digha,Parameswar Travels,A/C Seater Push Back (2+3),23:59,05:00,05h 01m,225,45,2.9,Kolkata,Digha
Kolkata to Digha,Maa Chandi Travels,A/C Seater / Sleeper (2+2),23:57,05:10,05h 13m,370,33,3.8,Kolkata,Digha
Kolkata to Digha,Sagufta Travels(Maa Chandi),A/C Seater / Sleeper (2+2),22:10,05:40,07h 30m,365,22,4.5,Kolkata,Digha
Kolkata to Digha,Basu Travels,A/C Seater / Sleeper (2+2),23:59,05:00,05h 01m,300,34,3.3,Kolkata,Digha
Kolkata to Digha,Snemita Paribahan (Bhorpet),AC Seater (2+2),23:55,04:45,04h 50m,420,29,3.7,Kolkata,Digha
Kolkata to Digha,Santosh Bus Service,A/C Seater / Sleeper (2+2),23:59,05:30,05h 31m,279,45,2.4,Kolkata,Digha
Kolkata to Digha,Sagufta Travels (Atithi),A/C Seater Push Back (2+3),23:59,05:00,05h 01m,315,35,2.9,Kolkata,Digha
Kolkata to Digha,Sagufta Travels(Angel),A/C Seater (2+2),23:58,05:10,05h 12m,315,19,2.9,Kolkata,Digha
Kolkata to Digha,Basu Travels,A/C Seater Push Back (2+3),23:30,04:30,05h 00m,269,20,3.1,Kolkata,Digha
Kolkata to Digha,Bengal Surface Transport,A/C Seater / Sleeper (2+2),23:55,05:00,05h 05m,550,29,2.9,Kolkata,Digha
Kolkata to Digha,Sagufta Travels (Sagar Kanya),A/C Seater Push Back (2+3),23:30,04:05,04h 35m,315,16,2.9,Kolkata,Digha
Kolkata to Digha,Snemita Paribahan(Shinjini),A/C Seater (2+3),23:50,04:30,04h 40m,370,20,2.8,Kolkata,Digha
Kolkata to Digha,Parameswar Travels,A/C Seater Push Back (2+3),23:55,05:00,05h 05m,285,44,2.1,Kolkata,Digha
Kolkata to Digha,Snemita Paribahan (ANGEL),A/C Seater Push Back (2+2),23:58,05:00,05h 02m,320,29,3.1,Kolkata,Digha
Kolkata to Digha,Parameswar Travels,A/C Seater Push Back (2+3),23:45,05:00,05h 15m,285,48,3.1,Kolkata,Digha
Kolkata to Digha,Santosh Bus Service,A/C Seater Push Back (2+3),23:50,05:00,05h 10m,280,30,3.8,Kolkata,Digha
Kolkata to Digha,Arunita Paribahan,AC Seater (2+2),23:45,04:45,05h 00m,370,21,3.5,Kolkata,Digha
Kolkata to Digha,City Express (Shinjini),AC Seater (2+2),23:45,04:35,04h 50m,470,12,3.5,Kolkata,Digha
Kolkata to Digha,Friends Travels,A/C Seater (2+3),23:55,05:10,05h 15m,350,20,3.7,Kolkata,Digha
Kolkata to Digha,Parameswar Travels,A/C Seater Push Back (2+3),21:50,03:45,05h 55m,285,51,2.7,Kolkata,Digha
Kolkata to Digha,Basu Travels,A/C Seater Push Back (2+3),23:55,05:00,05h 05m,469,21,2.3,Kolkata,Digha
Kolkata to Digha,Bengal Surface Transport,A/C Seater Push Back (2+3),23:59,05:00,05h 01m,399,20,2.4,Kolkata,Digha
Kolkata to Digha,Bengal Surface Transport,A/C Seater Push Back (2+3),23:20,04:30,05h 10m,419,61,2.6,Kolkata,Digha
Kolkata to Digha,Rubi Paribahan  ,Volvo Multi Axle B11R AC Seater\Sleeper (2+1),23:30,04:00,04h 30m,399,50,4.4,Kolkata,Digha
Kolkata to Digha,Snemita Paribahan (Shinjini),AC Seater (2+2),23:45,04:35,04h 50m,470,16,3.8,Kolkata,Digha
Kolkata to Digha,Friends Travels,A/C Seater (2+2),23:45,05:30,05h 45m,350,21,3.7,Kolkata,Digha
Kolkata to Digha,Anadi Travels (Disha Gold),A/C Seater Push Back (2+3),23:00,04:40,05h 40m,500,60,1.0,Kolkata,Digha
Digha to Kolkata,Snemita Paribahan(Shinjini),A/C Seater (2+3),22:45,04:10,05h 25m,430,1,3.5,Digha,Kolkata
Digha to Kolkata,City Express (Shinjini),AC Seater (2+3),22:45,04:10,05h 25m,370,5,4.0,Digha,Kolkata
Digha to Kolkata,Snemita Paribahan (Shinjini),AC Seater (2+3),23:35,03:45,04h 10m,470,2,2.2,Digha,Kolkata
Digha to Kolkata,Arunita Paribahan,A/C Seater (2+3),23:35,03:45,04h 10m,420,3,1.9,Digha,Kolkata
Digha to Kolkata,Snemita Parisheba,AC Seater (2+3),23:40,04:40,05h 00m,352,15,1.0,Digha,Kolkata
Digha to Kolkata,Aradhana Travels,Non AC Seater (2+3),21:45,03:25,05h 40m,475,5,1.8,Digha,Kolkata
Mandarmani to Kolkata,City Express (Shinjini),AC Seater (2+3),23:15,04:10,04h 55m,370,5,3.2,Mandarmani,Kolkata
Mandarmani to Kolkata,Snemita Paribahan(Shinjini),A/C Seater (2+3),23:15,04:10,04h 55m,430,1,2.7,Mandarmani,Kolkata
Mandarmani to Kolkata,Snemita Paribahan (Shinjini),AC Seater (2+3),23:59,03:45,03h 46m,470,2,2.7,Mandarmani,Kolkata
Mandarmani to Kolkata,Aradhana Travels,Non AC Seater (2+3),22:15,03:25,05h 10m,475,5,3.6,Mandarmani,Kolkata
Mandarmani to Kolkata,Snemita Parisheba,AC Seater (2+3),23:59,04:40,04h 41m,352,15,3.1,Mandarmani,Kolkata
Kolkata to Mandarmani,Shyamoli Paribahan Pvt Ltd,VE A/C Seater (2+2),23:30,03:45,04h 15m,400,12,4.7,Kolkata,Mandarmani
Kolkata to Mandarmani,Express Line,Volvo 9600 A/C Seater (2+2),23:45,04:05,04h 20m,449,31,4.6,Kolkata,Mandarmani
Kolkata to Mandarmani,Mayuri Express,AC Seater (2+2),23:15,03:00,03h 45m,370,17,4.7,Kolkata,Mandarmani
Kolkata to Mandarmani,Maa Chandi Travels,A/C Seater / Sleeper (2+2),22:00,05:10,07h 10m,370,16,4.1,Kolkata,Mandarmani
Kolkata to Mandarmani,Basu Travels,A/C Seater / Sleeper (2+2),23:59,04:00,04h 01m,300,34,3.9,Kolkata,Mandarmani
Kolkata to Mandarmani,Sagufta Travels (Atithi),A/C Seater Push Back (2+3),23:59,04:30,04h 31m,315,35,3.1,Kolkata,Mandarmani
Kolkata to Mandarmani,Parameswar Travels,A/C Seater Push Back (2+3),23:55,04:30,04h 35m,285,51,2.5,Kolkata,Mandarmani
Kolkata to Mandarmani,Sagufta Travels (Sagar Kanya),A/C Seater Push Back (2+3),23:30,04:00,04h 30m,315,20,2.9,Kolkata,Mandarmani
Kolkata to Mandarmani,Snemita Paribahan(Shinjini),A/C Seater (2+3),23:50,04:00,04h 10m,370,20,2.9,Kolkata,Mandarmani
Kolkata to Mandarmani,Parameswar Travels,A/C Seater Push Back (2+2),23:50,04:30,04h 40m,285,9,2.4,Kolkata,Mandarmani
Kolkata to Mandarmani,Maa Chandi Travels,A/C Seater / Sleeper (2+2),23:57,04:20,04h 23m,370,33,1.9,Kolkata,Mandarmani
Kolkata to Mandarmani,Santosh Bus Service,A/C Seater / Sleeper (2+2),23:59,04:45,04h 46m,279,45,2.1,Kolkata,Mandarmani
Kolkata to Mandarmani,Parameswar Travels,A/C Seater Push Back (2+3),23:59,04:30,04h 31m,225,47,1.3,Kolkata,Mandarmani
Kolkata to Mandarmani,Ankita Paribahan(Atithi),A/C Seater (2+3),23:55,04:30,04h 35m,389,20,1.9,Kolkata,Mandarmani
Kolkata to Mandarmani,City Express (Shinjini),AC Seater (2+3),23:50,04:10,04h 20m,370,35,3.5,Kolkata,Mandarmani
Kolkata to Mandarmani,City Express (Shinjini),AC Seater (2+2),23:45,04:00,04h 15m,470,12,3.5,Kolkata,Mandarmani
Kolkata to Mandarmani,Sagufta Travels(Maa Chandi),A/C Seater / Sleeper (2+2),22:10,05:20,07h 10m,365,34,3.4,Kolkata,Mandarmani
